"species","decimalLatitude","decimalLongitude","date","year","month","day","original_x","original_y","correction_status","correction_distance_km","correction_x","correction_y","env"
"Rhincodon typus",-10.7091412742382,105.581717451524,19725,2024,1,3,105.54019,-10.52255,"corrected",21.1335649477086,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.4598337950138,105.831024930748,19728,2024,1,6,105.68397,-10.52672,"corrected",17.7167841717496,105.831024930748,-10.4598337950138,3598.546875
"Rhincodon typus",-10.7091412742382,105.581717451524,19733,2024,1,11,105.62912,-10.52454,"corrected",21.0676517407061,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.4598337950138,105.831024930748,19741,2024,1,19,105.6512,-10.50381,"corrected",20.2782042897673,105.831024930748,-10.4598337950138,3598.546875
"Rhincodon typus",-10.7091412742382,105.581717451524,19734,2024,1,12,105.62087,-10.54559,"corrected",18.5911013149761,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19740,2024,1,18,105.614,-10.49873,"corrected",23.5405718965883,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.4598337950138,105.831024930748,19732,2024,1,10,105.62534,-10.49625,"corrected",22.8748638641867,105.831024930748,-10.4598337950138,3598.546875
"Rhincodon typus",-10.7091412742382,105.581717451524,19735,2024,1,13,105.61789,-10.51325,"corrected",22.0264975199604,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19729,2024,1,7,105.62432,-10.52234,"corrected",21.1818316567201,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19753,2024,1,31,105.63247,-10.53748,"corrected",19.7832863335688,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19733,2024,1,11,105.6163,-10.51082,"corrected",22.2607242229857,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19732,2024,1,10,105.62324,-10.50642,"corrected",22.8791248161007,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19726,2024,1,4,105.62839,-10.5249,"corrected",21.0094979650029,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19744,2024,1,22,105.55115,-10.51386,"corrected",21.8578966706388,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.4598337950138,105.831024930748,19726,2024,1,4,105.68131,-10.46784,"corrected",16.4147419070293,105.831024930748,-10.4598337950138,3598.546875
"Rhincodon typus",-10.7091412742382,105.581717451524,19752,2024,1,30,105.60981,-10.54599,"corrected",18.3064267759822,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.4598337950138,105.831024930748,19748,2024,1,26,105.70586,-10.50756,"corrected",14.6839779554426,105.831024930748,-10.4598337950138,3598.546875
"Rhincodon typus",-10.7091412742382,105.581717451524,19749,2024,1,27,105.61303,-10.52212,"corrected",20.9686370676451,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19727,2024,1,5,105.61981,-10.51346,"corrected",22.0424122387865,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19739,2024,1,17,105.61972,-10.51282,"corrected",22.1100764987991,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19737,2024,1,15,105.62461,-10.52033,"corrected",21.4057040128144,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19727,2024,1,5,105.63518,-10.52173,"corrected",21.5396191665514,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19732,2024,1,10,105.60926,-10.51631,"corrected",21.5413285160097,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19733,2024,1,11,105.55527,-10.56598,"corrected",16.0976205706298,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19746,2024,1,24,105.57663,-10.50799,"corrected",22.2566922931612,105.581717451524,-10.7091412742382,3114.38818359375
