"Value","Response","lower","upper","variable"
6872.24129720168,0.201113025614117,0.175686295195883,0.226539756032351,"Depth"
6960.31360522184,0.200694501167567,0.175231822072262,0.226157180262873,"Depth"
7048.38591324199,0.20033553042299,0.174834071923236,0.225836988922744,"Depth"
7136.45822126215,0.200031932645063,0.174488512158414,0.225575353131712,"Depth"
7224.53052928231,0.199779346983602,0.174190435639258,0.225368258327945,"Depth"
7312.60283730247,0.19957326900389,0.173935013361761,0.22521152464602,"Depth"
7400.67514532263,0.199409048394157,0.173717300159517,0.225100796628798,"Depth"
7488.74745334278,0.19928193306189,0.173532293037164,0.225031573086616,"Depth"
7576.81976136294,0.198937093791614,0.173219049383381,0.224655138199847,"Depth"
7664.8920693831,0.198869669659461,0.173084190596591,0.224655148722332,"Depth"
7752.96437740326,0.198824803496194,0.172967060832398,0.224682546159991,"Depth"
7841.03668542342,0.198797675714318,0.172862845120628,0.224732506308008,"Depth"
7929.10899344358,0.198783563386208,0.172766900014587,0.224800226757829,"Depth"
8017.18130146373,0.198777867624746,0.172674776361726,0.224880958887765,"Depth"
8105.25360948389,0.198776164099227,0.172582268115645,0.22497006008281,"Depth"
8193.32591750405,0.198774232858435,0.172485434074407,0.225063031642464,"Depth"
8281.39822552421,0.198768114994262,0.172380651739447,0.225155578249076,"Depth"
8369.47053354437,0.198754117138135,0.1722646059927,0.22524362828357,"Depth"
8457.54284156453,0.19872886187259,0.172134334824733,0.225323388920448,"Depth"
8545.61514958468,0.198689297889985,0.171987225717653,0.225391370062318,"Depth"
8633.68745760484,0.198632722654457,0.17182102881022,0.225444416498693,"Depth"
8721.759765625,0.198556798767068,0.171633863983809,0.225479733550327,"Depth"
10.7762470245361,0.61845806010955,0.592830542701231,0.644085577517869,"Mixed_layer_depth"
11.6393738178292,0.655825775083494,0.634913402856613,0.676738147310375,"Mixed_layer_depth"
12.5025006111222,0.671175958807613,0.65287828974782,0.689473627867406,"Mixed_layer_depth"
13.3656274044152,0.691845621825716,0.674299824971159,0.709391418680273,"Mixed_layer_depth"
14.2287541977083,0.697128399263341,0.679004221351459,0.715252577175224,"Mixed_layer_depth"
15.0918809910013,0.712525981815836,0.694058243311678,0.730993720319995,"Mixed_layer_depth"
15.9550077842944,0.715501273443635,0.696977864277611,0.73402468260966,"Mixed_layer_depth"
16.8181345775874,0.716594102241827,0.698041521824338,0.735146682659316,"Mixed_layer_depth"
17.6812613708804,0.71464632240357,0.696384669983312,0.732907974823828,"Mixed_layer_depth"
18.5443881641735,0.710635774727872,0.692815997020549,0.728455552435194,"Mixed_layer_depth"
19.4075149574665,0.690420253141408,0.674093531375544,0.706746974907272,"Mixed_layer_depth"
